name,state,type,degree_length,in_state_tuition,out_of_state_tuition
Columbia University,New York,Private,4 Year,59985,59985
University of Chicago,Illinois,Private,4 Year,58230,58230
Columbia University: School of General Studies,New York,Private,4 Year,57549,57549
Vassar College,New York,Private,4 Year,56960,56960
Trinity College,Connecticut,Private,4 Year,56910,56910
Harvey Mudd College,California,Private,4 Year,56876,56876
Landmark College,Vermont,Private,2 Year,56800,56800
Franklin & Marshall College,Pennsylvania,Private,4 Year,56750,56750
Amherst College,Massachusetts,Private,4 Year,56426,56426
School of the Museum of Fine Arts,Massachusetts,Private,4 Year,56382,56382
