name,state,type,degree_length,total_4year_tuition,early_career_pay,mid_career_pay,years_to_payoff,payoff_rating
Brigham Young University-Idaho,Idaho,Private,4 Year,16472,53700,93500,0.31,Excellent (<=2 years)
Brigham Young University-Hawaii,Hawaii,Private,4 Year,22240,51700,93900,0.43,Excellent (<=2 years)
Western Governors University,Utah,Private,4 Year,26680,54500,91500,0.49,Excellent (<=2 years)
Minot State University,North Dakota,Public,4 Year,28256,44500,74100,0.63,Excellent (<=2 years)
Chadron State College,Nebraska,Public,4 Year,28784,42300,76700,0.68,Excellent (<=2 years)
Alcorn State University,Mississippi,Public,4 Year,28576,40900,69500,0.7,Excellent (<=2 years)
Peru State College,Nebraska,Public,4 Year,29928,42600,74800,0.7,Excellent (<=2 years)
Delta State University,Mississippi,Public,4 Year,28984,40800,74200,0.71,Excellent (<=2 years)
Mississippi University for Women,Mississippi,Public,4 Year,28160,39500,69500,0.71,Excellent (<=2 years)
Western Carolina University,North Carolina,Public,4 Year,32880,44700,77700,0.74,Excellent (<=2 years)
