name,state_name,stem_percent,early_career_pay,mid_career_pay,avg_career_pay
Webb Institute,New-York,100,80800,141800,111300
California Institute of Technology,California,97,84100,151600,117850
Rose-Hulman Institute of Technology,Indiana,96,75000,135800,105400
Colorado School of Mines,Colorado,93,75600,139600,107600
South Dakota School of Mines and Technology,South-Dakota,92,66500,118500,92500
New Mexico Institute of Mining and Technology,New-Mexico,91,64700,120400,92550
Capitol Technology University,Maryland,88,67400,118400,92900
Worcester Polytechnic Institute,Massachusetts,86,73600,135500,104550
Harvey Mudd College,California,85,88800,158200,123500
Michigan Technological University,Michigan,81,65000,116300,90650
Georgia Institute of Technology-Main Campus,Georgia,80,72700,133400,103050
Missouri University of Science and Technology,Missouri,80,67300,122600,94950
Stevens Institute of Technology,New-Jersey,79,75100,139900,107500
Rensselaer Polytechnic Institute,New-York,78,71300,134100,102700
New Jersey Institute of Technology,New-Jersey,75,64600,121300,92950
Kettering University,Michigan,74,69900,125000,97450
United States Coast Guard Academy,Connecticut,69,67300,118100,92700
Massachusetts Institute of Technology,Massachusetts,69,86300,155200,120750
Milwaukee School of Engineering,Wisconsin,69,65700,117600,91650
Carnegie Mellon University,Pennsylvania,66,75900,136100,106000
Maharishi University of Management,Iowa,65,46800,85200,66000
Illinois Institute of Technology,Illinois,64,64600,118500,91550
Montana Tech of the University of Montana,Montana,61,61200,112600,86900
Lawrence Technological University,Michigan,60,57900,108400,83150
University of California-San Diego,California,58,63400,123700,93550
